ID_Atendimento,Tempo_Medio_Atendimento,Assunto_Atendimento,Chamado,Improcedente,Mais_de_um_protocolo,Acionou_suporte_focal
127503,0:04:13,Transferencia,Nao,,Nao,Sim
127504,0:26:01,LCD,Sim,Nao,Nao,Sim
127505,0:07:40,Transferencia,Nao,,Sim,Sim
127506,0:07:40,Transferencia,Nao,,Sim,Sim
127507,0:05:00,Transferencia,Nao,,Sim,Sim
127508,0:05:00,Transferencia,Nao,,Sim,Sim
127509,0:12:15,C&R,Nao,,Nao,Nao
,0:07:44,C&R,Nao,,Nao,Nao
127511,0:27:33,LCD,Sim,Nao,Nao,Sim
127512,0:08:04,Manutencao,Nao,,Nao,Nao
127513,0:03:25,Transferencia,Nao,,Sim,Sim
127514,0:03:25,Transferencia,Nao,,Sim,Sim
127515,0:10:29,C&R,Nao,,Sim,Nao
127516,0:10:29,Transferencia,Nao,,Sim,Sim
127517,0:10:29,Transferencia,Nao,,Sim,Sim
127518,0:10:27,Manutencao,Nao,,Nao,Nao
127519,0:04:55,Transferencia,S,,Sim,Sim
127520,0:04:55,Transferencia,Nao,,Sim,Sim
127521,0:00:10,Queda Atendimento,Nao,,Nao,Nao
127522,0:12:03,C&R,Nao,,Nao,Nao
127523,0:21:14,LCD,Nao,,Sim,Nao
127524,0:21:14,C&R,Nao,,Sim,Nao
127525,0:26:08,C&R,Nao,,Nao,Nao
127526,0:26:08,Manutencao,Nao,,Nao,Nao
127527,0:57:52,C&R,Sim,Nao,Nao,Sim
127528,0:06:58,LCD,Nao,,Nao,Nao
127529,0:19:24,LCD,Nao,,Nao,Nao
127530,0:13:08,C&R,Nao,,Nao,Nao
127531,0:31:17,C&R,Sim,Nao,Nao,Sim
127532,0:10:46,Transferencia,Nao,,Sim,Sim
127533,0:10:46,Transferencia,Nao,,Sim,Sim
127534,0:04:40,Transferencia,Nao,,Sim,Sim
127535,0:04:40,Transferencia,Nao,,Sim,Sim
127536,0:08:01,Transferencia,Nao,,Sim,Sim
127537,0:08:01,Transferencia,Nao,,Sim,Sim
127538,0:19:10,Manutencao,Nao,,Nao,Nao
127539,0:18:26,Manutencao,Nao,,Nao,Nao
127540,0:23:14,C&R,Sim,Nao,Nao,Sim
127541,0:11:58,C&R,Nao,,Nao,Nao
127542,0:11:17,C&R,Nao,,Nao,Nao
127543,0:00:52,Queda Atendimento,Nao,,Nao,Nao
127544,0:14:50,Transferencia,Nao,,Sim,Sim
127545,0:14:50,Transferencia,Nao,,Sim,Sim
127546,0:07:21,Transferencia,Nao,,Sim,Sim
127547,0:07:21,Transferencia,Nao,,Sim,Sim
127548,0:35:51,Manutencao,Nao,,Nao,Nao
127549,0:18:54,C&R,Nao,,Nao,Nao
127550,0:23:06,C&R,Sim,Nao,Nao,Sim
127551,0:14:21,Transferencia,Nao,,Sim,Sim
127552,0:14:21,Transferencia,Nao,,Sim,Sim
